country,facility_name,town,address,latitude,longitude,coord_precision,facility_type,indoor_sand_courts,outdoor_courts_same_venue,outdoor_address,outdoor_latitude,outdoor_longitude,price_notes,currency,booking_or_info_url,availability_utilization_note,data_cutoff,fact_check_notes
FINLAND,Biitsihalli (Karkkimalan Beach Volley -halli),Mustasaari (Karkmo),"Karkkimalantie 654 / Karkmovägen 654, 66420 Ruto",63.0253,21.8955,address,dedicated_indoor_sand_hall,1,,,,,"EN site: from EUR 24 / 90 min / 4 players (footer dated 2012—confirm tariff)",EUR,https://www.biitsihalli.fi/index_en.htm,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: biitsihalli.fi EN — 1 indoor court; address Karkkimalantie 654 Ruto. Coords: OSM ‘Biitsihalli’ fitness_centre node on Karkmovägen, Karkmo, Korsholm (Karkmo = Swedish for Karkkimala in bilingual Mustasaari)."
FINLAND,MOU-Areena,Mouhijärvi (Sastamala),"Pynnärinkuja 14, 38460 Sastamala",61.5069,23.0434,address,dedicated_indoor_sand_hall,3,,,,,"Prices shown in venue booking system per MOU site",EUR,https://biitsille.fi/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: biitsille.fi — three full-size courts; address Pynnärinkuja 14 38460 Sastamala. Coords: Nominatim address-precise."
FINLAND,Hiekka Beach Club,Vantaa (Varisto),"Martinkyläntie 59, 01720 Vantaa",60.2753,24.8121,address,dedicated_indoor_sand_hall,6,,,,,"Club EN page; reservations via venue channels",EUR,https://en.jnbv.fi/jn-beach-talents,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: JNBV EN — six indoor courts Varisto Vantaa. Coords: Nominatim/Photon agree on commercial building at Martinkyläntie 59."
FINLAND,Biitsi Pasila,Helsinki (Tripla / Pasila),"Fredikanterassi 1, 00520 Helsinki",60.1984,24.9303,address,dedicated_indoor_sand_hall,3,,,,,"Mostly events/corporate; underground +26 °C; no consumer price list on tourism page",EUR,https://www.myhelsinki.fi/places/biitsi-pasila/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: MyHelsinki — three volleyball fields plus a smaller multi-use sand area at ~26 °C (all indoor). Coords: OSM ‘Mall of Tripla’ node, Fredikanterassi 1."
FINLAND,Biitsi Salmisaari,Helsinki (Salmisaari),"Energiakatu 3, 00180 Helsinki",60.1657,24.9030,address,dedicated_indoor_sand_hall,5,,,,,"Quote/event sales",EUR,https://www.biitsi.fi/salmisaari,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: biitsi.fi Salmisaari — five beach-volley courts among facilities. Coords: OSM ‘Salmisaaren jäähalli’ sports_centre node."
FINLAND,Beach Jyväskylä Biitsihalli,Jyväskylä (Tikkakoski),"Vilkkutie 5, 40320 Jyväskylä",62.2922,25.7965,address,dedicated_indoor_sand_hall,1,,,,,"Prices on Timma booking; see venue mail info@beachjyvaskyla.fi",EUR,https://www.beachjyvaskyla.fi/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: 1 indoor court per venue operator (beachjyvaskyla.fi Vilkkutie 5; Timma booking). Coords: Nominatim/Photon agree on Vilkkutie 5 Tikkakoski (postal 40320)."
FINLAND,Teamprint Biitsi (Kokkolan Biitsihalli),Kokkola,"Yrittäjäntie 21, 67100 Kokkola",63.8341,23.1037,address,dedicated_indoor_sand_hall,1,,,,,"teamprintbiitsi.fi Hinnasto: 45–68 €/1.5 h by time band (incl. VAT 14%); book Vello",EUR,https://www.teamprintbiitsi.fi/,Self-service PIN access ma–su 06–24; per-slot only,2026-05-07,"Verified: kokkola.fi + teamprintbiitsi.fi — yksi beach volley -kenttä; Yrittäjäntie 21. Coords: Nominatim/Photon address-precise."
FINLAND,Biitsibreikki,Turku (Telekatu / Kärsämäki tehdasalue),"Telekatu 1 halli 4, 20360 Turku",60.4929,22.2905,address,dedicated_indoor_sand_hall,1,,,,,"Call/message for vuoro (0404 811751); third-party once cited ~82 €/90 min — confirm",EUR,https://www.biitsibreikki.fi/,Staff on site by arrangement only; no public utilization %,2026-05-07,"Verified: biitsibreikki.fi + aamuset.fi — single indoor sand hall. Coords: Nominatim industrial building at Telekatu 1, 20360 Turku."
FINLAND,Biitsiareena Oulu,Oulu (Äimärautio),"Äimäkuja 69, 90400 Oulu",64.9869,25.4669,address,dedicated_indoor_sand_hall,3,,,,,"Avoimet pelivuorot 12 €/h; viikkokisat 8 €/h; viikkovalmennus 25 €/h. Tarkemmat hinnat varauskalenterissa varaa.biitsiareena.fi",EUR,https://biitsiareena.fi/,Aukioloajat 7–23 joka päivä; per-slot booking via varaa.biitsiareena.fi (Oulu Beach Volley Oy),2026-05-07,"Verified: biitsiareena.fi — kolme korkeatasoista sisäkenttää (~900 m² hiekka), vakio +24 °C; Äimäkuja 69 90400 Oulu. Coords: Nominatim Äimäkuja, Äimärautio (street midpoint, no building tag yet)."
SWEDEN,Beachvolleyhallen (Oden Sportcenter),Falköping,"Odenbadet, Odengatan 24, 521 43 Falköping",58.1657,13.5640,address,dedicated_indoor_sand_hall,3,4 outdoor beside hall,,,,"Municipal Actor booking",SEK,https://www.falkoping.se/uppleva--gora/idrott-motion-och-bad/idrott-inomhus-pa-oden-sportcenter/beachvolleyhallen,Per-slot booking only; no published aggregate utilization %,2026-05-07,"Verified: Falköpings kommun — indoor beach hall (Hallen rymmer tre spelplaner) year-round sand. Coords: OSM ‘Odenbadet’ water_park node (street is Götavägen on OSM, postal address Odengatan 24)."
