country,facility_name,town,address,latitude,longitude,coord_precision,facility_type,indoor_sand_courts,outdoor_courts_same_venue,outdoor_address,outdoor_latitude,outdoor_longitude,price_notes,currency,booking_or_info_url,availability_utilization_note,data_cutoff,fact_check_notes
FINLAND,Biitsihalli (Karkkimalan Beach Volley -halli),Mustasaari (Karkmo),"Karkkimalantie 654 / Karkmovägen 654, 66420 Ruto",63.0253,21.8955,address,dedicated_indoor_sand_hall,1,,,,,EN site footer (dated 2012): EUR 24 / 90 min / 4 players,EUR,https://www.biitsihalli.fi/index_en.htm,Per-slot booking only; no published aggregate utilization %,2026-05-07,"biitsihalli.fi EN: one indoor court; Karkkimalantie 654 Ruto. Geocode: OSM Biitsihalli fitness_centre, Karkmovägen, Karkmo."
FINLAND,MOU-Areena,Mouhijärvi (Sastamala),"Pynnärinkuja 14, 38460 Sastamala",61.5069,23.0434,address,dedicated_indoor_sand_hall,3,,,,,Prices in venue booking system (biitsille.fi),EUR,https://biitsille.fi/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"biitsille.fi: three full-size courts; Pynnärinkuja 14, 38460 Sastamala. Geocode: Nominatim address."
FINLAND,Hiekka Beach Club,Vantaa (Varisto),"Martinkyläntie 59, 01720 Vantaa",60.2753,24.8121,address,dedicated_indoor_sand_hall,6,,,,,Courts and events via hiekkabeach.fi and the venue app,EUR,https://www.hiekkabeach.fi/,Per-slot booking only; no published aggregate utilization %,2026-05-07,hiekkabeach.fi/beach-volley: six indoor beach-volley courts; 1500 m² sand; Martinkyläntie 59. Geocode: Nominatim/Photon building Martinkyläntie 59.
FINLAND,Biitsi Pasila,Helsinki (Tripla / Pasila),"Fredikanterassi 1, 00520 Helsinki",60.1984,24.9303,address,dedicated_indoor_sand_hall,3,,,,,Corporate and events; +26 °C; pricing via venue sales,EUR,https://www.biitsi.fi/pasila,Per-slot booking only; no published aggregate utilization %,2026-05-07,"biitsi.fi/pasila: Pasila / Mall of Tripla Urban Jungle; +26 °C. Geocode: OSM Mall of Tripla, Fredikanterassi 1."
FINLAND,Biitsi Salmisaari,Helsinki (Salmisaari),"Energiakatu 3, 00180 Helsinki",60.1657,24.9030,address,dedicated_indoor_sand_hall,5,,,,,Quote and event sales (biitsi.fi),EUR,https://www.biitsi.fi/salmisaari,Per-slot booking only; no published aggregate utilization %,2026-05-07,biitsi.fi/salmisaari: Salmisaari indoor beach venue. Geocode: OSM Salmisaaren jäähalli sports_centre.
FINLAND,Beach Jyväskylä Biitsihalli,Jyväskylä (Tikkakoski),"Vilkkutie 5, 40320 Jyväskylä",62.2922,25.7965,address,dedicated_indoor_sand_hall,1,,,,,Timma booking; info@beachjyvaskyla.fi,EUR,https://www.beachjyvaskyla.fi/,Per-slot booking only; no published aggregate utilization %,2026-05-07,"beachjyvaskyla.fi: one indoor court; Vilkkutie 5, 40320 Jyväskylä; Timma booking. Geocode: Nominatim/Photon Vilkkutie 5 Tikkakoski."
FINLAND,Teamprint Biitsi (Kokkolan Biitsihalli),Kokkola,"Yrittäjäntie 21, 67100 Kokkola",63.8341,23.1037,address,dedicated_indoor_sand_hall,1,,,,,teamprintbiitsi.fi Hinnasto: 45–68 €/1.5 h by time band (incl. VAT 14%); book Vello,EUR,https://www.teamprintbiitsi.fi/,Self-service PIN access ma–su 06–24; per-slot only,2026-05-07,kokkola.fi and teamprintbiitsi.fi: one beach volley court; Yrittäjäntie 21. Geocode: Nominatim/Photon address.
FINLAND,Biitsibreikki,Turku (Telekatu / Kärsämäki tehdasalue),"Telekatu 1 halli 4, 20360 Turku",60.4929,22.2905,address,dedicated_indoor_sand_hall,1,,,,,Book by phone or message: 0404 811751; rates on biitsibreikki.fi,EUR,https://www.biitsibreikki.fi/,Staff on site by arrangement only; no public utilization %,2026-05-07,"biitsibreikki.fi: single indoor sand hall; Telekatu 1 halli 4. Geocode: Nominatim Telekatu 1, 20360 Turku."
FINLAND,Biitsiareena Oulu,Oulu (Äimärautio),"Äimäkuja 69, 90400 Oulu",64.9869,25.4669,address,dedicated_indoor_sand_hall,3,,,,,Avoimet pelivuorot 12 €/slot; viikkokisat 8 €/slot; viikkovalmennus 25 €/slot; calendar varaa.biitsiareena.fi,EUR,https://biitsiareena.fi/,07–23 daily; per-slot booking via varaa.biitsiareena.fi (Oulu Beach Volley Oy),2026-05-07,"biitsiareena.fi: three indoor courts; +24 °C; Äimäkuja 69. Geocode: Nominatim Äimäkuja 69, Äimärautio."
SWEDEN,Beachvolleyhallen (Oden Sportcenter),Falköping,"Odenbadet, Odengatan 24, 521 43 Falköping",58.1657,13.5640,address,dedicated_indoor_sand_hall,3,4 outdoor beside hall,,,,Municipal Actor booking,SEK,https://www.falkoping.se/uppleva--gora/idrott-motion-och-bad/idrott-inomhus-pa-oden-sportcenter/beachvolleyhallen,Per-slot booking only; no published aggregate utilization %,2026-05-07,Falköpings kommun: hall with three beach courts (tre spelplaner); year-round sand. Geocode: OSM Odenbadet; postal address Odengatan 24.
