country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes,permalink
FINLAND,Alavetelin beachvolley,,"Murikantie, 68410",63.703070,23.345632,address,1,,,yes,public,unknown,607925,,2026-05-13,LIPAS id 607925; type 1330; status active,fi-out-607925-alavetelin-beachvolley
FINLAND,Askon rannan beachvolleykenttä,,"Askontie 10, 19700",61.498995,25.685556,address,1,sand,,yes,public,city,510381,http://www.sysma.fi/,2026-05-13,LIPAS id 510381; type 1330; status active,fi-out-510381-askon-rannan-beachvolleykentta
FINLAND,Beachvolley,,"Andra sjön, 66900",63.519424,22.463226,address,1,sand,,yes,public,city,602191,,2026-05-13,LIPAS id 602191; type 1330; status active,fi-out-602191-beachvolley
FINLAND,Biitsibreikki,,"Telekatu 1, 20360",60.492274,22.288996,address,1,sand,,,public,company-ltd,618827,https://www.biitsibreikki.fi/,2026-05-13,LIPAS id 618827; type 1330; status active,fi-out-618827-biitsibreikki
FINLAND,Bråtö beachvolley,,"Bråtönkyläntie 60, 68500",63.749052,23.000122,address,1,sand,,yes,public,registered-association,608131,,2026-05-13,LIPAS id 608131; type 1330; status active,fi-out-608131-brato-beachvolley
FINLAND,Gräggnäs beachvolley,,"Gräggnäsvägen, 25830",60.028504,22.682014,address,1,,,,public,unknown,612485,,2026-05-13,LIPAS id 612485; type 1330; status active,fi-out-612485-graggnas-beachvolley
FINLAND,Hertunrannan beachvolleykenttä,,"Hertunranta, 78200",62.320908,27.871346,address,1,sand,,yes,public,city,612430,https://varkaus.fi/fi/sivu/ulkoilu-ja-liikuntapaikat,2026-05-13,LIPAS id 612430; type 1330; status active,fi-out-612430-hertunrannan-beachvolleykentta
FINLAND,Hietamaan beachvolleykenttä,,"Hietamaantie 95, 92400",64.668374,25.069433,address,1,sand,,yes,public,city,101404,http://www.siikajoki.fi/,2026-05-13,LIPAS id 101404; type 1330; status active,fi-out-101404-hietamaan-beachvolleykentta
FINLAND,Ingegerdin rantalentopallokenttä,,"Rossinkatu 2, 20380",60.475379,22.302083,address,1,sand,,yes,public,city,509933,http://www.turku.fi/vapaa-aika/liikunta/ulkoliikunta/kentat/lentopallokentat,2026-05-13,LIPAS id 509933; type 1330; status active,fi-out-509933-ingegerdin-rantalentopallokentta
FINLAND,Jaatilanrinteen beachvolleykenttä,,"Vesitorninkatu, 42100",61.879873,25.203376,address,1,sand,,yes,public,city,500273,jamsa.sometec.fi,2026-05-13,LIPAS id 500273; type 1330; status active,fi-out-500273-jaatilanrinteen-beachvolleykentta
